drug_1,drug_2,drug_3,synergy_score
goserelin,lapatinib,letrozole,0.18548493319717796
alpelisib,goserelin,letrozole,0.18402892721252814
anastrozole,fulvestrant,palbociclib,0.1822398101267289
anastrozole,goserelin,palbociclib,0.1819052721920533
everolimus,fulvestrant,lY2835219,0.18153026840207373
anastrozole,fulvestrant,vinorelbine,0.17951147998776731
exemestane,fulvestrant,palbociclib,0.1789971094091605
anastrozole,goserelin,lY2835219,0.17898329711391744
alpelisib,everolimus,fulvestrant,0.1784815542300552
everolimus,exemestane,lY2835219,0.17697035261004074
everolimus,fulvestrant,lapatinib,0.1755259091624499
capecitabine,lapatinib,letrozole,0.17334762758162364
anastrozole,goserelin,vinorelbine,0.17233131726506976
fulvestrant,letrozole,vinorelbine,0.1718583170760172
anastrozole,capecitabine,vinorelbine,0.17161613340997414
capecitabine,letrozole,vinorelbine,0.17072273752691808
degarelix,lY2835219,letrozole,0.16769020838246176
everolimus,fulvestrant,tucatinib,0.16528016371606677
everolimus,lY2835219,lapatinib,0.16519854165258005
anastrozole,everolimus,lY2835219,0.1639297710903157
alpelisib,fulvestrant,lY2835219,0.16161150360820203
degarelix,everolimus,lY2835219,0.16160771656261402
degarelix,goserelin,letrozole,0.15898051304697888
anastrozole,everolimus,goserelin,0.15890466857295155
degarelix,fulvestrant,lY2835219,0.1588556628740036
entrectinib,letrozole,palbociclib,0.15679400346179811
entrectinib,letrozole,vinorelbine,0.15634450321994914
everolimus,lY2835219,letrozole,0.15573678429264215
everolimus,fulvestrant,goserelin,0.15401495688943448
fulvestrant,goserelin,tucatinib,0.15320146327274892
degarelix,exemestane,fulvestrant,0.15302618306421287
entrectinib,fulvestrant,goserelin,0.1516242272972302
fulvestrant,lapatinib,letrozole,0.1496824100583544
fulvestrant,lY2835219,tucatinib,0.1486788539543214
anastrozole,lY2835219,vinorelbine,0.14727433396547884
alpelisib,anastrozole,goserelin,0.14587850544716296
capecitabine,gemcitabine,lapatinib,0.1458626931671218
alpelisib,fulvestrant,palbociclib,0.14561208591821978
exemestane,fulvestrant,vinorelbine,0.14484239871485002
goserelin,letrozole,tucatinib,0.1439654508640848
eribulin,goserelin,letrozole,0.14381668366601158
exemestane,fulvestrant,lapatinib,0.1436289288739045
degarelix,exemestane,lY2835219,0.14343014278644844
entrectinib,exemestane,fulvestrant,0.14326398340770344
goserelin,letrozole,panobinostat,0.1406992687575497
capecitabine,goserelin,letrozole,0.13998166314382188
entrectinib,goserelin,palbociclib,0.13939960899997383
eribulin,exemestane,fulvestrant,0.1386296420023377
entrectinib,lY2835219,letrozole,0.13850743988206116
exemestane,fulvestrant,panobinostat,0.13842394618296372
capecitabine,exemestane,fulvestrant,0.1383423003068357
exemestane,fulvestrant,paclitaxel,0.1381038678715048
epirubicin,exemestane,fulvestrant,0.1381020691108994
docetaxel,exemestane,fulvestrant,0.13809878354709765
exemestane,fulvestrant,gemcitabine,0.1380926917458662
exemestane,fulvestrant,propofol,0.13809143634785945
exemestane,fulvestrant,hydroxychloroquine,0.13809143634785923
exemestane,fulvestrant,pF-03084014,0.13809143634785906
canagliflozin,exemestane,fulvestrant,0.1380914363478589
exemestane,fentanyl,fulvestrant,0.13809143634785873
exemestane,fulvestrant,midazolam,0.1380914363478586
alpelisib,entrectinib,goserelin,0.1378325213241643
